"","gene_group","alt_gene_group","not_transformed"
"1",0,0,7.0858
"2",0,0,5.924
"3",0,0,4.6732
"4",0,0,4.095
"5",0,0,3.9109
"6",0,0,3.735
"7",0,0,3.554087
"8",0,0,3.28036
"9",0,0,3.045
"10",0,0,2.6385
"11",0,0,2.2155
"12",0,0,2.204
"13",0,0,2.1703
"14",0,0,2.111296
"15",0,0,2.110454
"16",0,0,1.723
"17",0,0,1.55
"18",0,0,1.511
"19",0,0,1.4281
"20",0,0,1.4078
"21",0,0,1.175
"22",0,0,1.1418
"23",0,0,1.076
"24",0,0,0.93711
"25",0,0,0.874
"26",0,0,0.8698
"27",0,0,0.8521875
"28",0,0,0.849
"29",0,0,0.7961
"30",0,0,0.7128
"31",0,0,0.683178
"32",0,0,0.655
"33",0,0,0.54508
"34",0,0,0.51512
"35",0,0,0.4825
"36",0,0,0.3276
"37",0,0,0.313
"38",0,0,0.29
"39",0,0,0.1243
"40",0,0,0.013
"41",0.5,0.25,1.6326
"42",0.5,0.5,1.0099
"43",0.5,0.5,0.577
"44",0.5,0.5,0.5529
"45",0.5,0.5,0.3196
"46",0.5,0.5,0.3192
"47",0.5,0.5,0.262
"48",0.5,0.5,0.2089
"49",0.5,0.5,0.204
"50",0.5,0.5,0.179
"51",0.5,0.5,0.1621
"52",0.5,0.5,0.15763
"53",0.5,0.5,0.1309
"54",0.5,0.5,0.1283
"55",0.5,0.5,0.1184
"56",0.5,0.5,0.1059
"57",0.5,0.5,0.0984
"58",0.5,0.5,0.09632
"59",0.5,0.5,0.0897
"60",0.5,0.5,0.088
"61",0.5,0.5,0.0869
"62",0.5,0.5,0.0803
"63",0.5,0.25,0.073
"64",0.5,0.5,0.07
"65",0.5,0.5,0.0681
"66",0.5,0.5,0.063937
"67",0.5,0.5,0.0607
"68",0.5,0.5,0.05423
"69",0.5,0.5,0.0507
"70",0.5,0.5,0.049
"71",0.5,0.5,0.04843
"72",0.5,0.5,0.0475
"73",0.5,0.5,0.036
"74",0.5,0.5,0.032
"75",0.5,0.5,0.0316
"76",0.5,0.5,0.0244
"77",0.5,1.5,0.0227
"78",0.5,0.5,0.022
"79",0.5,0.25,0.0201
"80",0.5,0.5,0.01852
"81",0.5,0.5,0.0162
"82",0.5,0.5,0.0134
"83",0.5,0.5,0.0118
"84",0.5,0.5,0.011
"85",0.5,0.5,0.0048
"86",0.5,0.25,0.0044
"87",0.5,0.5,0.0038
"88",0.5,0.5,0.0028
"89",0.5,0.5,0.001
