gene_group,alt_gene_group,met_ratio
0,0,0.013
0,0,0.1243
0,0,0.29
0,0,0.313
0,0,0.3276
0,0,0.4825
0,0,0.51512
0,0,0.54508
0,0,0.655
0,0,0.683178
0,0,0.7128
0,0,0.7961
0,0,0.849
0,0,0.8521875
0,0,0.8698
0,0,0.874
0,0,0.93711
0,0,1.076
0,0,1.1418
0,0,1.175
0,0,1.4078
0,0,1.4281
0,0,1.511
0,0,1.55
0,0,1.723
0,0,2.110454
0,0,2.111296
0,0,2.1703
0,0,2.204
0,0,2.2155
0,0,2.6385
0,0,3.045
0,0,3.28036
0,0,3.554087
0,0,3.735
0,0,3.9109
0,0,4.095
0,0,4.6732
0,0,5.924
0,0,7.0858
0.5,0.5,0.001
0.5,0.5,0.0028
0.5,0.5,0.0038
0.5,0.25,0.0044
0.5,0.5,0.0048
0.5,0.5,0.011
0.5,0.5,0.0118
0.5,0.5,0.0134
0.5,0.5,0.0162
0.5,0.5,0.01852
0.5,0.25,0.0201
0.5,0.5,0.022
0.5,1.5,0.0227
0.5,0.5,0.0244
0.5,0.5,0.0316
0.5,0.5,0.032
0.5,0.5,0.036
0.5,0.5,0.0475
0.5,0.5,0.04843
0.5,0.5,0.049
0.5,0.5,0.0507
0.5,0.5,0.05423
0.5,0.5,0.0607
0.5,0.5,0.063937
0.5,0.5,0.0681
0.5,0.5,0.07
0.5,0.25,0.073
0.5,0.5,0.0803
0.5,0.5,0.0869
0.5,0.5,0.088
0.5,0.5,0.0897
0.5,0.5,0.09632
0.5,0.5,0.0984
0.5,0.5,0.1059
0.5,0.5,0.1184
0.5,0.5,0.1283
0.5,0.5,0.1309
0.5,0.5,0.15763
0.5,0.5,0.1621
0.5,0.5,0.179
0.5,0.5,0.204
0.5,0.5,0.2089
0.5,0.5,0.262
0.5,0.5,0.3192
0.5,0.5,0.3196
0.5,0.5,0.5529
0.5,0.5,0.577
0.5,0.5,1.0099
0.5,0.25,1.6326
0.8,0.75,0.0012
0.8,0.75,0.01
0.8,0.75,0.015
0.8,0.75,0.0174
0.8,0.75,0.0209
0.8,0.75,0.025
0.8,0.75,0.0288
0.8,0.75,0.0725
0.8,0.75,0.0744
0.8,0.75,0.0868
0.8,0.75,0.3233
0.8,0.75,0.355
0.8,0.75,0.7643
1,1,0
1,1,0.0002
1,1,0.000980118
1,1,0.001
