"","gene_group","alt_gene_group","not_transformed"
"1",0.5,0.25,1.6326
"2",0.5,0.5,1.0099
"3",0.5,0.5,0.577
"4",0.5,0.5,0.5529
"5",0.5,0.5,0.3196
"6",0.5,0.5,0.3192
"7",0.5,0.5,0.262
"8",0.5,0.5,0.2089
"9",0.5,0.5,0.204
"10",0.5,0.5,0.179
"11",0.5,0.5,0.1621
"12",0.5,0.5,0.15763
"13",0.5,0.5,0.1309
"14",0.5,0.5,0.1283
"15",0.5,0.5,0.1184
"16",0.5,0.5,0.1059
"17",0.5,0.5,0.0984
"18",0.5,0.5,0.09632
"19",0.5,0.5,0.0897
"20",0.5,0.5,0.088
"21",0.5,0.5,0.0869
"22",0.5,0.5,0.0803
"23",0.5,0.25,0.073
"24",0.5,0.5,0.07
"25",0.5,0.5,0.0681
"26",0.5,0.5,0.063937
"27",0.5,0.5,0.0607
"28",0.5,0.5,0.05423
"29",0.5,0.5,0.0507
"30",0.5,0.5,0.049
"31",0.5,0.5,0.04843
"32",0.5,0.5,0.0475
"33",0.5,0.5,0.036
"34",0.5,0.5,0.032
"35",0.5,0.5,0.0316
"36",0.5,0.5,0.0244
"37",0.5,1.5,0.0227
"38",0.5,0.5,0.022
"39",0.5,0.25,0.0201
"40",0.5,0.5,0.01852
"41",0.5,0.5,0.0162
"42",0.5,0.5,0.0134
"43",0.5,0.5,0.0118
"44",0.5,0.5,0.011
"45",0.5,0.5,0.0048
"46",0.5,0.25,0.0044
"47",0.5,0.5,0.0038
"48",0.5,0.5,0.0028
"49",0.5,0.5,0.001
